
Integration time [ms]: 1000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1308032U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
365.336; 1195.167;  132.278; 1169.056
365.927; 1139.167;  150.278; 1167.056
366.518; 1420.167;  178.278; 1256.056
367.110; 1485.167;  181.278; 1415.056
367.701; 1195.167;  150.278; 1078.056
368.292; 1387.167;  187.278; 1356.056
368.884; 1233.167;  152.278; 1143.056
369.475; 1521.167;  210.278; 1441.056
370.066; 1290.167;  173.278; 1209.056
370.657; 1439.167;  158.278; 1374.056
371.248; 1173.167;  168.278; 1063.056
371.840; 1298.167;  147.278; 1211.056
372.431; 1252.167;  160.278; 1168.056
373.022; 1202.167;  163.278; 1094.056
373.613; 1415.167;  182.278; 1332.056
374.204; 1392.167;  159.278; 1299.056
374.795; 1148.167;  124.278; 1089.056
375.385; 1495.167;  195.278; 1371.056
375.976; 1442.167;  180.278; 1362.056
376.567; 1275.167;  188.278; 1221.056
377.158; 1341.167;  190.278; 1245.056
377.749; 1197.167;  153.278; 1208.056
378.339; 1243.167;  186.278; 1217.056
378.930; 1294.167;  171.278; 1198.056
379.521; 1553.167;  217.278; 1412.056
380.112; 1336.167;  184.278; 1304.056
380.702; 1378.167;  141.278; 1295.056
381.293; 1253.167;  124.278; 1218.056
381.883; 1434.167;  176.278; 1330.056
382.474; 1504.167;  177.278; 1405.056
383.064; 1287.167;  163.278; 1159.056
383.655; 1372.167;  191.278; 1387.056
384.245; 1382.167;  163.278; 1288.056
384.836; 1454.167;  183.278; 1384.056
385.426; 1337.167;  159.278; 1248.056
386.016; 1277.167;  138.278; 1203.056
386.607; 1455.167;  184.278; 1345.056
387.197; 1286.167;  166.278; 1233.056
387.787; 1204.167;  158.278; 1077.056
388.377; 1146.167;  100.278; 1113.056
388.967; 1328.167;  178.278; 1191.056
389.558; 1269.167;  105.278; 1178.056
390.148; 1360.167;  188.278; 1264.056
390.738; 1233.167;  172.278; 1172.056
391.328; 1194.167;  131.278; 1102.056
391.918; 1421.167;  144.278; 1309.056
392.508; 1434.167;  165.278; 1334.056
393.098; 1173.167;  131.278; 1095.056
393.688; 1298.167;  183.278; 1203.056
394.277; 1170.167;  116.278; 1100.056
394.867; 1312.167;  165.278; 1216.056
395.457; 1300.167;  113.278; 1236.056
396.047; 1492.167;  182.278; 1419.056
396.637; 1472.167;  174.278; 1403.056
397.226; 1400.167;  179.278; 1271.056
397.816; 1359.167;  145.278; 1269.056
398.406; 1259.167;  149.278; 1165.056
398.995; 1413.167;  156.278; 1297.056
399.585; 1343.167;  178.278; 1259.056
400.174; 1249.167;  168.278; 1223.056
400.764; 1299.167;  181.278; 1244.056
401.353; 1211.167;  153.278; 1130.056
401.943; 1176.167;  161.278; 1144.056
402.532; 1303.167;  106.278; 1201.056
403.122; 1268.167;  157.278; 1127.056
403.711; 1211.167;  163.278; 1129.056
404.300; 1301.167;  171.278; 1226.056
404.889; 1207.167;  125.278; 1103.056
405.479; 1213.167;  140.278; 1168.056
406.068; 1309.167;  153.278; 1235.056
406.657; 1617.167;  214.278; 1492.056
407.246; 1270.167;  192.278; 1192.056
407.835; 1307.167;  163.278; 1205.056
408.424; 1428.167;  167.278; 1353.056
409.014; 1272.167;  159.278; 1221.056
409.603; 1358.167;  162.278; 1225.056
410.192; 1302.167;  159.278; 1245.056
410.781; 1361.167;  170.278; 1260.056
411.369; 1073.167;   90.278;  996.056
411.958; 1087.167;  134.278;  964.056
412.547; 1134.167;  142.278; 1104.056
413.136; 1224.167;  140.278; 1076.056
413.725; 1260.167;  168.278; 1155.056
414.314; 1378.167;  158.278; 1343.056
414.902; 1299.167;  160.278; 1157.056
415.491; 1266.167;   98.278; 1175.056
416.080; 1329.167;  185.278; 1243.056
416.668; 1209.167;   91.278; 1079.056
417.257; 1300.167;  168.278; 1241.056
417.845; 1217.167;  105.278; 1146.056
418.434; 1232.167;  162.278; 1099.056
419.022; 1406.167;  171.278; 1351.056
419.611; 1364.167;  166.278; 1269.056
420.199; 1361.167;  133.278; 1178.056
420.788; 1356.167;  111.278; 1212.056
421.376; 1455.167;  172.278; 1363.056
421.964; 1180.167;   98.278; 1063.056
422.553; 1503.167;  196.278; 1382.056
423.141; 1232.167;  161.278; 1138.056
423.729; 1379.167;  148.278; 1167.056
424.317; 1397.167;  133.278; 1255.056
424.905; 1319.167;  188.278; 1195.056
425.494; 1253.167;  145.278; 1102.056
426.082; 1275.167;  155.278; 1094.056
426.670; 1389.167;  171.278; 1225.056
427.258; 1554.167;  157.278; 1301.056
427.846; 1469.167;  177.278; 1279.056
428.434; 1456.167;  151.278; 1226.056
429.022; 1385.167;  146.278; 1142.056
429.610; 1480.167;  174.278; 1180.056
430.197; 1608.167;  187.278; 1300.056
430.785; 1666.167;  153.278; 1299.056
431.373; 1535.167;  156.278; 1174.056
431.961; 1668.167;  166.278; 1324.056
432.549; 1643.167;  178.278; 1281.056
433.136; 1699.167;  178.278; 1219.056
433.724; 1672.167;  145.278; 1301.056
434.311; 1681.167;  139.278; 1240.056
434.899; 1895.167;  162.278; 1331.056
435.487; 1625.167;  150.278; 1112.056
436.074; 2121.167;  196.278; 1467.056
436.662; 2041.167;  215.278; 1358.056
437.249; 1944.167;  172.278; 1211.056
437.837; 1865.167;  116.278; 1051.056
438.424; 2056.167;  156.278; 1239.056
439.011; 2128.167;  171.278; 1211.056
439.599; 2156.167;  166.278; 1120.056
440.186; 2261.167;  161.278; 1169.056
440.773; 2444.167;  131.278; 1251.056
441.360; 2463.167;  129.278; 1137.056
441.948; 2709.167;  170.278; 1337.056
442.535; 2683.167;  154.278; 1245.056
443.122; 2734.167;  165.278; 1252.056
443.709; 2853.167;  182.278; 1259.056
444.296; 2813.167;  143.278; 1204.056
444.883; 3106.167;  172.278; 1310.056
445.470; 2959.167;  130.278; 1216.056
446.057; 3038.167;  163.278; 1179.056
446.644; 3070.167;  146.278; 1219.056
447.231; 3388.167;  200.278; 1423.056
447.818; 3350.167;  177.278; 1410.056
448.404; 3187.167;  130.278; 1227.056
448.991; 3786.167;  190.278; 1757.056
