
Integration time [ms]: 1000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1308032U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
448.991;10368.667;  190.278; 1757.056
449.578;10093.667;  140.278; 1267.056
450.165;10288.667;  155.278; 1277.056
450.751;10519.667;  101.278; 1270.056
451.338;10865.667;  178.278; 1411.056
451.925;10833.667;  146.278; 1182.056
452.511;10976.667;  167.278; 1281.056
453.098;10977.667;  176.278; 1256.056
453.684;11383.667;  209.278; 1658.056
454.271;11096.667;  190.278; 1431.056
454.857;10812.667;  178.278; 1274.056
455.443;10621.667;  120.278; 1168.056
456.030;10442.667;   93.278; 1199.056
456.616; 9989.667;  125.278; 1028.056
457.202; 9823.667;  156.278; 1147.056
457.789; 9479.667;  132.278; 1156.056
458.375; 9338.667;  161.278; 1161.056
458.961; 8996.667;  145.278; 1185.056
459.547; 8776.667;  167.278; 1239.056
460.133; 8357.667;  151.278; 1141.056
460.720; 8151.667;  163.278; 1263.056
461.306; 8074.667;  165.278; 1322.056
461.892; 8295.667;  247.278; 1908.056
462.478; 7503.667;  164.278; 1363.056
463.064; 7234.667;  196.278; 1324.056
463.650; 7017.667;  190.278; 1461.056
464.235; 6722.667;  163.278; 1318.056
464.821; 6459.667;  160.278; 1209.056
465.407; 6113.667;  123.278; 1085.056
465.993; 6106.667;  131.278; 1249.056
466.579; 6112.667;  174.278; 1342.056
467.164; 5634.667;  156.278; 1224.056
467.750; 5539.667;  175.278; 1236.056
468.336; 5280.667;  148.278; 1096.056
468.921; 5004.667;  146.278; 1098.056
469.507; 5287.667;  158.278; 1368.056
470.092; 5424.667;  201.278; 1605.056
470.678; 4683.667;  124.278; 1161.056
471.263; 4581.667;  145.278; 1211.056
471.849; 4589.667;  152.278; 1352.056
472.434; 4309.667;  162.278; 1213.056
473.020; 4029.667;   79.278; 1118.056
473.605; 3905.667;  155.278; 1128.056
